ncescode,name,type,levelcode,rating,frpl,enrollment,white,black,hispanic,asian,multiracial,native_american,street,city,state,zip,county,fipscounty,lat,lon,districtid,districtname
6112,Thelma B. Bedell Elementary,public,e,,.71700001,,.116667,,.87222201,.0055555599,.0055555599,,1305 Laurel Road,Santa Paula,CA,,Ventura,6111,34.374775,-119.06256,1545,Santa Paula Unified School District
6113,Renaissance High,public,h,,1,,.015625,.0078125,.97656202,,,,333 North Palm Avenue,Santa Paula,CA,,Ventura,6111,34.354523,-119.07346,1545,Santa Paula Unified School District
6114,Santa Paula High,public,h,,.76499999,,.055771701,.0032425399,.93450099,.0051880679,.00129702,,404 North 6th Street,Santa Paula,CA,,Ventura,6111,34.35622,-119.0694,1545,Santa Paula Unified School District
7466,Exeter Independent Study (Alternative),public,"e,m,h",,.78799999,,.227273,.106061,.63636398,.030303,,,505 Rocky Hill Drive,Exeter,CA,,Tulare,6107,36.297344,-119.13559,1544,Exeter Unified School District
8662,Exeter Community Day,public,"e,m,h",,,,,,,,,,1107 Rocky Hill Drive,Exeter,CA,,Tulare,6107,36.297035,-119.13082,1544,Exeter Unified School District
9067,Long Valley Charter School,charter,"e,m,h",3,,,,,,,,,436-965 Susan Drive,Doyle,CA,,Lassen,6035,40.044331,-120.1215,1213,Sbe - Long Valley Charter
10336,Wilson Middle,public,m,,.64600003,,.383358,.0089152995,.57800901,.01634472,.0089152995,.0044576498,710 West Maple Street,Exeter,CA,,Tulare,6107,36.293388,-119.15036,1544,Exeter Unified School District
11527,Exeter Union Community Day,public,"e,m",,,,,,,,,,313 Sequoia Drive,Exeter,CA,,Tulare,6107,36.302589,-119.1413,1544,Exeter Unified School District
13587,Santa Paula Adult Education,public,"e,m,h",,,,,,,,,,333 North Palm Avenue,Santa Paula,CA,,Ventura,6111,34.354523,-119.07346,1545,Santa Paula Unified School District
60000103278,Vasquez High School,public,h,5,.32300001,513,.57798201,.0091743097,.337156,.01376147,.041284401,.0137615,33630 Red Rover Mine Road,Acton,CA,,Los Angeles,6037,34.492477,-118.21927,249,Acton-Agua Dulce Unified
60000106294,Agua Dulce Elementary School,public,e,5,.463,203,.449664,.020134199,.45637599,.01342282,.0469799,,11311 West Frascati Street,Agua Dulce,CA,,Los Angeles,6037,34.487339,-118.3319,249,Acton-Agua Dulce Unified
60000107534,Meadowlark Elementary School,public,e,6,.36300001,391,.649616,.0102302,.30179,.017902831,.0127877,.0076726298,3015 West Sacramento Street,Acton,CA,,Los Angeles,6037,34.473564,-118.18294,249,Acton-Agua Dulce Unified
60000109444,High Desert School,public,m,5,.36000001,399,.609231,.0153846,.31692299,.01538462,.0153846,.0092307702,3620 Antelope Woods Road,Acton,CA,,Los Angeles,6037,34.490993,-118.19648,249,Acton-Agua Dulce Unified
60000113717,Albert Einstein Academy Elementary,charter,"e,m",,.059999999,,.494863,.049657501,.150685,.2140411,.015411,.00513699,25300 Rye Canyon Road,Santa Clarita,CA,,Los Angeles,6037,34.437477,-118.57703,249,Acton-Agua Dulce Unified
60000210346,California School For The Blind,public,e,,.986,71,.36111099,.069444403,.472222,.0694445,.0277778,,500 Walnut Avenue,Fremont,CA,,Alameda,6001,37.562595,-121.96565,1064,California School For The Blind (State Special Schl)
60000310347,California School For The Deaf-Fremont,public,"p,e,m,h",2,.99800003,420,.294554,.091584198,.44802001,.1163366,.029703001,.0049505001,39350 Gallaudet Drive,Fremont,CA,,Alameda,6001,37.558941,-121.96554,1065,California School For The Deaf-Fremont (State Special Schl)
60000608773,Manor Elementary School,public,e,8,.15000001,417,.78398103,.0121359,.114078,.05339805,.0097087398,.0072815502,150 Oak Manor Drive,Fairfax,CA,,Marin,6041,37.996948,-122.59406,437,Ross Valley Elementary School District
60000608774,White Hill Middle School,public,m,10,.111,609,.84402299,.016035,.080174901,.03061223,.0072886301,,101 Glen Drive,Fairfax,CA,,Marin,6041,38.003216,-122.60668,437,Ross Valley Elementary School District
60000608775,Brookside Elementary School,public,e,10,.068000004,317,.82336998,.032608699,.0570652,.032608692,.043478299,.00271739,116 Butterfield Road,San Anselmo,CA,,Marin,6041,37.990589,-122.57704,437,Ross Valley Elementary School District
60000608776,Wade Thomas Elementary School,public,e,10,.092,428,.8125,.00892857,.075892903,.064732097,.035714298,,150 Ross Avenue,San Anselmo,CA,,Marin,6041,37.97121,-122.56751,437,Ross Valley Elementary School District
60000612911,Hidden Valley Elementary,public,e,,.068999998,300,.80851102,.0053191502,.074468099,.029255269,.063829802,,46 Green Valley Court,San Anselmo,CA,,Marin,6041,38.005577,-122.57368,437,Ross Valley Elementary School District
60000710348,California School For The Deaf-Riverside,public,"e,m,h",2,.31600001,385,.24281999,.10705,.57180202,.039164528,.036553498,,3044 Horace Street,Riverside,CA,,Riverside,6065,33.94368,-117.37878,1062,California School For The Deaf-Riverside (State Special School
60000901478,Sierra Madre High (Continuation) School,public,h,,,,,,,,,,4500 Highway 166,New Cuyama,CA,,Santa Barbara,6083,34.93309,-119.59429,562,Cuyama Joint Unified
60000908779,Cuyama Valley High School,public,h,5,.70899999,77,.164557,,.79746801,.0126582,.0126582,.0126582,4500 Highway 166,New Cuyama,CA,,Santa Barbara,6083,34.943588,-119.67368,562,Cuyama Joint Unified
60000908780,Cuyama Elementary School,public,"e,m",3,.796,161,.23353299,,.74850303,.011976,.00598802,,2300 Highway 166,New Cuyama,CA,,Santa Barbara,6083,34.932777,-119.60856,562,Cuyama Joint Unified
60001109064,Render Continuation High School,public,h,,,,,,,,,,200 Ds Hall,Herlong,CA,,Lassen,6035,40.139076,-120.14358,338,Fort Sage Unified
60001109065,Herlong High School,public,h,3,.60299999,78,.75,.0588235,.102941,.0147059,,.0735294,200 Ds Hall,Herlong,CA,,Lassen,6035,40.139084,-120.14358,338,Fort Sage Unified
60001109066,Fort Sage Middle School,public,m,2,.77399999,25,.774194,.032258101,.129032,,,.064516097,200 Ds Hall,Herlong,CA,,Lassen,6035,40.139072,-120.14357,338,Fort Sage Unified
60001109068,Sierra Primary School,public,"e,m",5,.80599999,95,.70833302,,.208333,.041666701,.0138889,.0277778,100 Ds Hall Street,Herlong,CA,,Lassen,6035,40.141907,-120.13399,338,Fort Sage Unified
60001111292,Fort Sage Community Day School,public,"e,m",,,,,,,,,,100 Ds Hall,Herlong,CA,,Lassen,6035,40.142025,-120.13596,338,Fort Sage Unified
60001112763,Mt. Lassen Charter School,charter,"e,m,h",6,.44400001,122,.85483903,,.120968,,.016129,.0080645196,100 David S. Hall Street,Herlong,CA,,Lassen,6035,40.141312,-120.1352,338,Fort Sage Unified
60001206852,Washington Elementary School,public,"e,m",,1,10,.85714298,,.142857,,,,1 School Street,Washington,CA,,Nevada,6057,39.358395,-120.7999,461,Twin Ridges Elementary
60001209206,Grizzly Hill School,public,"e,m",6,.87,93,.70652199,.0108696,.141304,,.086956501,.054347798,16661 Old Mill Road,Nevada City,CA,,Nevada,6057,39.372768,-120.9951,461,Twin Ridges Elementary
60001300805,Antelope Creek Elementary School,public,"e,m",8,.419,415,.620332,.024896299,.161826,.062240679,.107884,.0145228,6185 Springview Drive,Rocklin,CA,,Placer,6061,38.777191,-121.25857,508,Rocklin Unified
60001302405,Rocklin High School,public,h,9,.13699999,1843,.70888799,.0127728,.141032,.078765281,.0558808,.0021287899,5301 Victory Lane,Rocklin,CA,,Placer,6061,38.812992,-121.25189,508,Rocklin Unified
60001303571,Breen Elementary School,public,"e,m",8,.16,639,.74573398,.0068259402,.129693,.049488079,.054607499,.0051194499,2751 Breen Drive,Rocklin,CA,,Placer,6061,38.817413,-121.26058,508,Rocklin Unified
60001306176,Victory High School,public,h,7,.42899999,106,.72448999,.0102041,.17346901,.0204082,.051020399,.0204082,3250 Victory Drive,Rocklin,CA,,Placer,6061,38.815556,-121.25522,508,Rocklin Unified
60001306197,Rocklin Alternative Education Center,public,"e,m,h",5,,64,,,,,,,3250 Victory Drive,Rocklin,CA,,Placer,6061,38.815556,-121.25522,508,Rocklin Unified
60001308256,Twin Oaks Elementary School,public,"e,m",8,.17200001,426,.68765098,.0411622,.1477,.072639227,.036319599,.0024213099,2835 Club Drive,Rocklin,CA,,Placer,6061,38.809963,-121.26482,508,Rocklin Unified
60001308257,Granite Oaks Middle School,public,m,10,.101,894,.68708199,.013363,.108018,.10690424,.0790646,.0055679302,2600 Wyckford Drive,Rocklin,CA,,Placer,6061,38.826691,-121.25979,508,Rocklin Unified
60001308553,Spring View Middle School,public,m,9,.28400001,806,.681373,.0208333,.155637,.088235363,.046568599,.00122549,5040 Fifth Street,Rocklin,CA,,Placer,6061,38.795033,-121.24207,508,Rocklin Unified
60001308762,Rocklin Academy,charter,"e,m",10,.059999999,372,.55313402,.0081743896,.122616,.1880108,.125341,.0027248,6532 Turnstone Way,Rocklin,CA,,Placer,6061,38.804016,-121.28628,508,Rocklin Unified
60001308763,Valley View Elementary School,public,"e,m",10,.074000001,500,.72016501,.0144033,.088477403,.096707813,.069958799,,3000 Crest Drive,Rocklin,CA,,Placer,6061,38.814026,-121.2411,508,Rocklin Unified
60001308764,Sierra Elementary School,public,"e,m",9,.133,508,.75227702,.00364299,.111111,.074681193,.0382514,.0054644798,6811 Camborne Way,Rocklin,CA,,Placer,6061,38.773041,-121.216,508,Rocklin Unified
60001309069,Parker Whitney Elementary School,public,"e,m",9,.34200001,478,.76412803,.019656001,.15724801,.027027011,.027027,.0049140002,5145 Topaz Avenue,Rocklin,CA,,Placer,6061,38.792706,-121.25235,508,Rocklin Unified
60001309070,Rocklin Elementary School,public,"e,m",9,.414,531,.65240598,.0178253,.18181799,.10338676,.040998202,.00178253,5025 Meyers Street,Rocklin,CA,,Placer,6061,38.790833,-121.22788,508,Rocklin Unified
60001310270,Cobblestone Elementary School,public,"e,m",9,.192,401,.71392399,.025316499,.151899,.068354502,.0278481,.0075949398,5740 Cobblestone Drive,Rocklin,CA,,Placer,6061,38.802399,-121.26467,508,Rocklin Unified
60001310575,Rock Creek Elementary School,public,"e,m",9,.215,603,.616943,.0220994,.163904,.16942909,.020257801,.00184162,2140 Collet Quarry Drive,Rocklin,CA,,Placer,6061,38.798084,-121.27948,508,Rocklin Unified
60001311009,Ruhkala Elementary School,public,"e,m",8,.153,474,.68397301,.020315999,.13544001,.1083522,.0180587,.0090293502,6530 Turnstone Way,Rocklin,CA,,Placer,6061,38.804066,-121.28628,508,Rocklin Unified
60001311010,Whitney High School,public,h,9,.199,1777,.65669298,.019947501,.13490801,.11548564,.066141702,.0052493401,701 Wildcat Boulevard,Rocklin,CA,,Placer,6061,38.834316,-121.28903,508,Rocklin Unified
60001312012,Rocklin Academy At Meyers Street,charter,"e,m",10,.071000002,186,.45652199,.0108696,.086956501,.26630411,.173913,.0054347799,5035 Meyers Street,Rocklin,CA,,Placer,6061,38.791103,-121.22904,508,Rocklin Unified
60001312302,Maria Montessori Charter Academy,charter,"e,m",8,.27399999,264,.66666698,.0074074101,.162963,.070370398,.081481501,.0037036999,1850 Wildcat Boulevard,Rocklin,CA,,Placer,6061,38.7859,-121.2493,508,Rocklin Unified
60001312558,Sunset Ranch Elementary School,public,"e,m",10,.098999999,609,.65508401,.010296,.088803098,.16344909,.073359102,.0064350101,2500 Bridlewood Drive,Rocklin,CA,,Placer,6061,38.826424,-121.2864,508,Rocklin Unified
60001313722,Rocklin Independent Charter Academy,charter,"e,m,h",,.29800001,,.71276599,,.180851,,.095744699,,3250 Victory Drive,Rocklin,CA,,Placer,6061,38.815769,-121.25443,508,Rocklin Unified
60001403904,Topaz Preparatory Academy,public,"e,m",6,.76800001,686,.162469,.0743073,.69647402,.02644835,.0151134,.0088161202,14110 Beech Street,Hesperia,CA,,San Bernardino,6071,34.432568,-117.3547,606,Hesperia Unified School District
60001405093,Sultana High School,public,h,7,.66799998,2206,.34462699,.063891597,.55179101,.01597289,.0121007,.0067763799,17311 Sultana Avenue,Hesperia,CA,,San Bernardino,6071,34.411652,-117.28647,606,Hesperia Unified School District
60001407287,Shadow Ridge School,public,"e,m,h",2,.46399999,140,.36423799,.046357598,.576159,.01324504,,,12850 Muscatel Street,Hesperia,CA,,San Bernardino,6071,34.414001,-117.3827,606,Hesperia Unified School District
60001407295,Mesquite Trails Elementary School,public,"e,m",6,.565,800,.367946,.031602699,.545147,.01805874,.0090293502,.0067720101,13884 Mesquite,Hesperia,CA,,San Bernardino,6071,34.397934,-117.36069,606,Hesperia Unified School District
60001408296,Hesperia Community Day School,public,"m,h",,.78100002,28,.21875,.21875,.53125,,,,16527 1/2 Lemon Street,Hesperia,CA,,San Bernardino,6071,34.445133,-117.30289,606,Hesperia Unified School District
60001409072,Hesperia High School,public,h,5,.77899998,2000,.16541,.077928603,.72347897,.01860231,.0025138301,.00351936,9898 Maple Avenue,Hesperia,CA,,San Bernardino,6071,34.430668,-117.34657,606,Hesperia Unified School District
60001409073,Mojave High School,public,h,2,.77999997,266,.162939,.092651799,.722045,.00638978,.0095846597,.00319489,16633 Lemon,Hesperia,CA,,San Bernardino,6071,34.444927,-117.301,606,Hesperia Unified School District
60001409074,Joshua Circle Elementary School,public,"e,m",3,.91600001,828,.134271,.0588235,.75447601,.0140665,.00383632,.00383632,10140 Eighth Avenue,Hesperia,CA,,San Bernardino,6071,34.434696,-117.31578,606,Hesperia Unified School District
60001409075,Juniper Elementary School,public,"e,m",6,.82800001,596,.175698,.045977,.64860398,.02134647,.0246305,.0032840699,9400 I Avenue,Hesperia,CA,,San Bernardino,6071,34.423168,-117.2822,606,Hesperia Unified School District
60001409076,Eucalyptus Elementary School,public,"e,m",3,.83399999,638,.136095,.093195297,.62130201,.01331358,.0088757398,.0044378699,11224 Tenth Avenue,Hesperia,CA,,San Bernardino,6071,34.448055,-117.31883,606,Hesperia Unified School District
60001409077,Hesperia Junior High School,public,m,3,.82200003,941,.154355,.089305401,.70893103,.01212789,.0033076101,.0099228201,10275 Cypress,Hesperia,CA,,San Bernardino,6071,34.437386,-117.32579,606,Hesperia Unified School District
60001409078,Mesa Grande Elementary School,public,"e,m",5,.78600001,652,.29159501,.044596899,.62778699,.0102916,.0120069,.00343053,9172 Third Street,Hesperia,CA,,San Bernardino,6071,34.418056,-117.30763,606,Hesperia Unified School District
60001409079,Kingston Elementary School,public,"e,m",4,.69800001,717,.37560999,.0276423,.47804901,.0081300903,.0097561004,.0097561004,7473 Kingston Avenue,Hesperia,CA,,San Bernardino,6071,34.38702,-117.27479,606,Hesperia Unified School District
60001409080,Maple Elementary School,public,"e,m",3,.80900002,640,.154494,.101124,.679775,.01123595,.0070224698,.0042134798,10616 Maple Street,Hesperia,CA,,San Bernardino,6071,34.444553,-117.34661,606,Hesperia Unified School District
60001409081,Cottonwood Elementary School,public,"e,m",5,.792,882,.239802,.0828183,.62546402,.038318869,.0049443799,.0049443799,8850 Cottonwood,Hesperia,CA,,San Bernardino,6071,34.4114,-117.33829,606,Hesperia Unified School District
60001409082,Lime Street Elementary School,public,"p,e,m",3,.83200002,839,.189189,.123755,.61877698,.01280229,.042674299,.0042674299,16852 Lime Street,Hesperia,CA,,San Bernardino,6071,34.404949,-117.29525,606,Hesperia Unified School District
60001409476,Hollyvale Elementary School,public,"e,m",3,.70200002,508,.249357,.089974299,.609254,.01542419,.0154242,.0102828,11645 Hollyvale Avenue,Victorville,CA,,San Bernardino,6071,34.462009,-117.38634,606,Hesperia Unified School District
60001409477,Carmel Elementary School,public,"e,m",5,.80800003,692,.31571001,.049848899,.570997,.0075528598,.0166163,.0120846,9321 Glendale Avenue,Hesperia,CA,,San Bernardino,6071,34.419388,-117.24187,606,Hesperia Unified School District
60001409676,Ranchero Middle School,public,m,4,.74299997,1057,.30839199,.063700698,.58240598,.01314459,.0151668,.0070778602,17607 Ranchero Road,Hesperia,CA,,San Bernardino,6071,34.38377,-117.27883,606,Hesperia Unified School District
60001410617,Crosswalk: Higher Education Learning Pathways,charter,h,,,83,,,,,,,12061 Jacaranda Ave.,Hesperia,CA,,San Bernardino,6071,34.470325,-117.2626,606,Hesperia Unified School District
60001411118,Summit Leadership Academy-High Desert,charter,h,5,.542,201,.25463,.12037,.578704,.0092592603,.0046296301,.0046296301,12850 Muscatel Street,Hesperia,CA,,San Bernardino,6071,34.412811,-117.38262,606,Hesperia Unified School District
60001411119,Cypress School Of The Arts,public,"e,m",5,.727,795,.25787601,.037339602,.62310398,.017502921,.0081680296,.00116686,10365 Cypress,Hesperia,CA,,San Bernardino,6071,34.438847,-117.3255,606,Hesperia Unified School District
60001411746,Pathways To College,charter,"e,m",2,.83200002,348,.251497,.0898204,.62574899,.00598802,.0239521,,9144 Third Avenue,Hesperia,CA,,San Bernardino,6071,34.416973,-117.30786,606,Hesperia Unified School District
60001411899,Mirus Secondary School,charter,"m,h",2,.84899998,627,.286957,.063768104,.62608701,.01449275,,.0086956499,"14073 Main Street, Suite 103",Hesperia,CA,,San Bernardino,6071,34.426636,-117.35807,606,Hesperia Unified School District
60001412100,Canyon Ridge High School,public,h,2,.722,231,.147826,.134783,.673913,.0043478301,.0130435,.0086956499,12850 Muscatel Avenue,Hesperia,CA,,San Bernardino,6071,34.413979,-117.38268,606,Hesperia Unified School District
60001412103,Cedar Middle School,public,m,3,.699,1216,.26315799,.084025897,.60387802,.028624229,.00369344,.00461681,13565 Cedar Street,Hesperia,CA,,San Bernardino,6071,34.404228,-117.3673,606,Hesperia Unified School District
60001412171,Mission Crest Elementary School,public,e,4,.68699998,1027,.16615701,.116208,.627931,.040774751,.0203874,.0020387401,13065 Muscatel Street,Hesperia,CA,,San Bernardino,6071,34.411514,-117.37793,606,Hesperia Unified School District
60001412333,Laverne Elementary Preparatory Academy,charter,"e,m",9,.55400002,328,.27126399,.0597701,.57931,.025287401,.048275899,.0022988501,7280 Oxford Avenue,Hesperia,CA,,San Bernardino,6071,34.427235,-117.28168,606,Hesperia Unified School District
60001412375,Encore High for the Performing and Visual Arts School,charter,"m,h",6,.472,954,.38440901,.11828,.41756299,.035842281,.041218601,.0026881699,16955 Lemon Street,Hesperia,CA,,San Bernardino,6071,34.442791,-117.29328,606,Hesperia Unified School District
60001412415,"Krystal School Of Science, Math &amp; Technology",public,"e,m",9,.48500001,727,.527273,.039999999,.38545501,.016969699,.0109091,.0024242401,17160 Krystal Drive,Hesperia,CA,,San Bernardino,6071,34.378235,-117.28824,606,Hesperia Unified School District
60001412417,Oak Hills High School,public,h,6,.61799997,2275,.308357,.088513799,.56772298,.02346646,.0094689196,.0024701499,7625 Cataba Road,Oak Hills,CA,,San Bernardino,6071,34.389038,-117.38571,606,Hesperia Unified School District
60001503907,Mountain View High School,public,"m,h",,.75,14,.66666698,,.29166701,,,.041666701,8560 Aliento Road,Lucerne Valley,CA,,San Bernardino,6071,34.408039,-116.90669,607,Lucerne Valley Unified
60001506466,Lucerne Valley Community Day School,public,"e,m,h",,.778,11,.66666698,,.222222,.111111,,,8560 Aliento Road,Lucerne Valley,CA,,San Bernardino,6071,34.408039,-116.90669,607,Lucerne Valley Unified
60001509083,Lucerne Valley Elementary School,public,"e,m",2,.87800002,439,.48730999,.058375601,.406091,.025380719,.0025380701,.0203046,10788 Barstow Road,Lucerne Valley,CA,,San Bernardino,6071,34.448524,-116.94592,607,Lucerne Valley Unified
60001509084,Lucerne Valley Middle School,public,m,4,.84600002,117,.444444,.017093999,.45299101,.059829012,.017093999,.0085470099,33233 Rabbit Springs Road,Lucerne Valley,CA,,San Bernardino,6071,34.458485,-116.93852,607,Lucerne Valley Unified
60001510305,Lucerne Valley High School,public,h,5,.82099998,255,.484716,.0262009,.44541499,.02620082,.0131004,.00436681,33233 Rabbit Springs Road,Lucerne Valley,CA,,San Bernardino,6071,34.458485,-116.93852,607,Lucerne Valley Unified
60001511860,Sky Mountain Charter School,charter,"e,m,h",6,.32300001,1749,.61466497,.022637799,.231299,.050196894,.0511811,.00885827,"4535 Missouri Flat Road, Suite 1a",Placerville,CA,,San Bernardino,6071,38.730526,-120.7897,607,Lucerne Valley Unified
60001609085,Hillside High School,public,h,4,.80400002,261,.15652201,.152174,.652174,.0086956499,.0173913,.0086956499,1558 West Ninth Street,Upland,CA,,San Bernardino,6071,34.094959,-117.67998,621,Upland Unified School District
60001609086,Upland High School,public,h,7,.551,3709,.29172599,.091499597,.50974298,.077096902,.0262638,.00310647,565 West 11th Street,Upland,CA,,San Bernardino,6071,34.104107,-117.66026,621,Upland Unified School District
60001609087,Baldy View Elementary School,public,"e,m",6,.852,698,.103293,.155689,.67514998,.037425149,.026946099,.00149701,979 West 11th Street,Upland,CA,,San Bernardino,6071,34.103367,-117.66495,621,Upland Unified School District
60001609088,Cabrillo Elementary School,public,"e,m",7,.83499998,763,.112713,.138925,.63171703,.1074705,.00262123,.0039318502,1562 West 11th Street,Upland,CA,,San Bernardino,6071,34.103249,-117.67977,621,Upland Unified School District
60001609089,Citrus Elementary School,public,"e,m",5,.81099999,746,.13023999,.0898204,.69311398,.058383308,.025449101,.00299401,925 West Seventh Street,Upland,CA,,San Bernardino,6071,34.089745,-117.66429,621,Upland Unified School District
60001609090,Foothill Knolls Elementary School,public,"e,m",7,.60500002,423,.271689,.077625602,.57305902,.075342514,,.0022831,1245 Veterans Court,Upland,CA,,San Bernardino,6071,34.108898,-117.63541,621,Upland Unified School District
60001609091,Magnolia Elementary School,public,"e,m",9,.28600001,608,.50319499,.0351438,.36421701,.063897789,.031948902,.00159744,465 West 15th Street,Upland,CA,,San Bernardino,6071,34.117924,-117.65646,621,Upland Unified School District
60001609092,Pioneer Junior High School,public,m,9,.31,1001,.46170399,.046386201,.36785299,.092772439,.024811201,.0064724898,245 West 18th Street,Upland,CA,,San Bernardino,6071,34.128803,-117.65378,621,Upland Unified School District
60001609093,Sierra Vista Elementary School,public,"e,m",7,.54699999,399,.29906499,.086448602,.52102798,.063084051,.0070093502,.016355099,253 East 14th Street,Upland,CA,,San Bernardino,6071,34.115231,-117.64743,621,Upland Unified School District
60001609094,Sycamore Elementary School,public,"e,m",7,.491,477,.29072201,.078350499,.51134002,.05979377,.057732001,.0020618599,1075 West 13th Street,Upland,CA,,San Bernardino,6071,34.110905,-117.66625,621,Upland Unified School District
60001609095,Upland Elementary School,public,"e,m",6,.92799997,532,.127928,.0612613,.76576602,.041441411,,.0036036,444 East 11th Street,Upland,CA,,San Bernardino,6071,34.102867,-117.64552,621,Upland Unified School District
60001609096,Upland Junior High School,public,m,4,.85100001,1004,.111475,.118033,.68743199,.06010928,.0174863,.0054644798,444 East 11th Street,Upland,CA,,San Bernardino,6071,34.102867,-117.64552,621,Upland Unified School District
60001609097,Valencia Elementary School,public,"e,m",9,.23999999,643,.53514397,.015974401,.32747599,.073482461,.0463259,.00159744,541 West 22nd Street,Upland,CA,,San Bernardino,6071,34.144253,-117.65797,621,Upland Unified School District
60001609678,Pepper Tree Elementary School,public,"e,m",10,.213,799,.46784401,.040353101,.34804499,.10592687,.034047902,.0037831001,1045 West 18th Street,Upland,CA,,San Bernardino,6071,34.128765,-117.66679,621,Upland Unified School District
60001701149,Rio Vista Elementary School,public,"e,m",9,.405,754,.53782398,.065284997,.31502599,.052849721,.0134715,.0093264198,13590 Havasu Road,Apple Valley,CA,,San Bernardino,6071,34.498749,-117.25057,593,Apple Valley Unified
60001705167,Sycamore Rocks Elementary School,public,"e,m",8,.65799999,598,.50746298,.053068001,.411277,.018242121,.0049751201,.0049751201,23450 South Road,Apple Valley,CA,,San Bernardino,6071,34.551674,-117.15063,593,Apple Valley Unified
60001707296,Academy for Academic Excellence,charter,"e,m,h",7,.21799999,1335,.52859199,.039589401,.29252201,.062316678,.074046902,.0029325499,17500 Mana Road,Apple Valley,CA,,San Bernardino,6071,34.533203,-117.2798,593,Apple Valley Unified
60001708297,Granite Hills High School,public,h,5,.616,1858,.396541,.127857,.40704101,.046324939,.01853,.00370599,22900 Esaws Road,Apple Valley,CA,,San Bernardino,6071,34.508041,-117.16394,593,Apple Valley Unified
60001708588,High Desert Premier Academy,public,"e,m,h",2,.60299999,544,.428224,.12652101,.42092499,.01216545,.00973236,.00243309,12555 Navajo Road,Apple Valley,CA,,San Bernardino,6071,34.48896,-117.18581,593,Apple Valley Unified
60001709098,Apple Valley High School,public,h,6,.56,2084,.46549401,.108705,.38159701,.032476299,.0054127201,.0058637802,11837 Navajo Road,Apple Valley,CA,,San Bernardino,6071,34.46769,-117.19015,593,Apple Valley Unified
60001709099,Willow Park High School,public,h,3,.63999999,,.47999999,.039999999,.47999999,,,,21950 Nisqually Road,Apple Valley,CA,,San Bernardino,6071,34.486107,-117.18494,593,Apple Valley Unified
60001709100,Mariana Academy,public,"e,m",4,.796,571,.48298201,.045380902,.45056701,.0097244801,.0097244699,.0016207499,10601 Manhasset Road,Apple Valley,CA,,San Bernardino,6071,34.444172,-117.18794,593,Apple Valley Unified
60001709101,Rancho Verde Elementary School,public,"e,m",4,.847,731,.33474001,.108298,.53164601,.01687764,.0056258799,.0028129399,14334 Pioneer Road,Apple Valley,CA,,San Bernardino,6071,34.511742,-117.17933,593,Apple Valley Unified
60001709102,Yucca Loma Elementary School,public,"e,m",4,.91600001,652,.2207,.196347,.540335,.024353091,.0121766,.0045662099,21351 Yucca Loma Road,Apple Valley,CA,,San Bernardino,6071,34.5005,-117.19777,593,Apple Valley Unified
60001709103,Desert Knolls Elementary School,public,"e,m",5,.68199998,570,.381944,.123264,.446181,.036458381,.0034722199,.0086805597,18213 Symeron Drive,Apple Valley,CA,,San Bernardino,6071,34.529884,-117.26464,593,Apple Valley Unified
