statefips,countyfips,median_age,white_perc,black_perc,asian_perc,hispanic_perc,hh_income,banks,population,rural_perc,treatment,atm
31,31009,46.599998,1,0,0,0,50.87,1,480,1,1,4
31,31057,40.200001,0.99299997,0.003,0,0.017000001,40.577,1,753,1,0,1
31,31075,45.299999,0.98299998,0.007,0,0.017000001,39.479,1,718,1,0,3
31,31085,44.400002,1,0,0,0.072999999,45.515,1,943,1,0,1
31,31091,55.900002,0.991,0.009,0,0.029999999,39.115,1,691,1,0,3
31,31103,45.400002,0.995,0,0,0.01,49.688,1,792,1,1,1
31,31113,38.900002,0.99400002,0,0,0.028999999,51.607,1,886,1,0,1
31,31115,56.900002,0.99699998,0,0,0.017000001,53.125,1,585,1,1,1
31,31125,45.900002,0.99400002,0.006,0,0.027000001,39.196,,705,1,0,0
31,31171,41.099998,0.98000002,0,0,0.005,50.682,1,645,1,1,3
31,31183,49.799999,0.99400002,0,0.002,0.006,52.083,1,822,1,1,1
32,32011,50.900002,0.99900001,0.001,0,0.023,64.618,1,833,1,0,3
32,32015,53.900002,0.93099999,0,0,0.37099999,69.914,1,1181,0.38999999,0,1
32,32017,41.200001,0.986,0.014,0,0.085000001,57.056,1,1084,1,1,4
32,32029,49.5,0.98000002,0.016000001,0,0.004,57.981,1,902,0.926,0,3
35,35011,33.299999,0.99199998,0.008,0,0.45199999,48.393,1,1167,1,0,1
35,35019,41.299999,0.963,0,0,0.70499998,27.333,1,1637,0.44100001,0,1
35,35021,60.099998,0.98299998,0,0,0.373,30.875,,459,1,0,0
35,35033,36.700001,0.45300001,0,0,0.78299999,32.583,1,1220,1,1,1
37,37029,45.700001,0.73199999,0.25999999,0,0.039000001,61.434,1,2233,0.995,1,2
37,37073,49.299999,0.62400001,0.35699999,0.001,0.052999999,50.119,1,767,1,0,1
37,37079,44.700001,0.68099999,0.26300001,0.002,0.090999998,26.563,1,1068,1,0,0
37,37103,50.599998,0.465,0.51200002,0,0.061000001,31.25,1,1685,1,1,2
37,37131,65.099998,0.54699999,0.43900001,0,0.008,41.308,,521,0.89399999,0,0
38,38007,40.599998,0.98199999,0.012,0,0.059999999,92.604,1,946,1,1,0
38,38025,34.400002,0.92299998,0,0.003,0.059,58.75,1,1240,1,1,1
38,38027,40.700001,0.84299999,0,0,0,45.45,1,1045,1,0,2
38,38083,51.5,0.98100001,0,0,0,49.261,,1405,1,0,0
40,40007,31.299999,0.90399998,0.003,0,0.493,31.364,1,742,1,1,0
40,40129,35.5,0.93900001,0.001,0,0.11,43.5,1,1823,1,0,1
41,41021,54.099998,0.98699999,0,0,0.113,41.618,1,512,1,0,0
41,41055,41.5,0.94999999,0.008,0.002,0.048999999,51.25,1,875,1,1,3
41,41069,55.599998,0.91299999,0,0,0.18099999,31.944,1,670,1,1,1
45,45039,43,0.35499999,0.63,0,0,44.844,1,1407,0.78299999,0,1
46,46007,33.200001,0.45500001,0.003,0.018999999,0.075000003,41.908,1,786,1,1,1
46,46049,39.799999,0.97299999,0.001,0,0,46.667,1,1009,1,1,0
46,46063,42.700001,0.92799997,0.021,0.003,0.02,57.365,1,1311,1,1,2
46,46071,50,0.67299998,0,0.01,0,37.644,1,695,1,1,1
46,46095,45.299999,0.59899998,0,0,0.086000003,37.125,1,886,1,1,1
46,46121,23.9,0.121,0.005,0.013,0.071999997,33.864,1,1767,1,0,2
46,46137,37,0.33000001,0,0.016000001,0.001,49.167,1,930,0.73500001,1,1
47,47121,41.200001,0.98799998,0.009,0,0,56.719,1,1706,1,0,1
47,47175,51.599998,0.95499998,0.005,0,0,35.625,1,1507,1,0,2
48,48011,45.599998,0.98699999,0.013,0,0.12,59.844,1,607,1,0,1
48,48045,46.299999,0.884,0.037999999,0,0.35299999,42.647,1,1546,1,1,2
48,48079,26.6,0.54799998,0.38499999,0,0.80900002,29.554,1,545,1,0,2
48,48095,40.200001,0.90799999,0.066,0,0.58099997,39.286,1,1445,1,1,3
48,48101,38,0.66600001,0.28,0,0.19599999,34.559,1,667,1,0,0
48,48109,32.5,0.69099998,0,0.064000003,0.77999997,35.682,1,855,1,0,2
48,48125,38,0.91100001,0.089000002,0,0.523,25.577,1,704,1,1,0
48,48137,39.799999,0.995,0,0,0.72100002,34.271,1,1504,1,0,3
48,48151,41.900002,0.79400003,0.14300001,0.026000001,0.31400001,50.333,1,551,1,0,1
48,48155,49.299999,0.97799999,0.022,0,0.205,46.354,1,1408,1,1,1
48,48173,36.5,1,0,0,0.46599999,67.054,1,667,1,1,3
48,48243,39.799999,0.93300003,0,0.067000002,0.64399999,52.778,1,917,1,0,2
48,48263,51.799999,0.97799999,0.013,0,0.163,45.926,1,749,1,0,1
48,48271,43.299999,0.96399999,0.035999998,0,0.90700001,0,1,904,0.205,1,0
48,48283,30,1,0,0,0.96899998,54.947,,950,0.46399999,1,0
48,48311,40.200001,0.98799998,0,0,0.50199997,68.75,,662,1,1,0
48,48345,28.6,0.89700001,0.032000002,0,0.242,41.25,,794,1,1,0
48,48359,41.200001,0.94999999,0.006,0.005,0.142,62.857,1,951,1,0,2
48,48389,38.400002,0.82499999,0.030999999,0.045000002,0.77600002,31.094,1,1302,0.145,0,2
48,48393,38,0.95300001,0,0.01,0.139,73.854,,885,1,0,0
48,48413,33.900002,0.98000002,0.02,0,0.76300001,54.167,,1501,1,0,0
48,48431,44.900002,0.97000003,0.005,0,0.45199999,59.286,1,1141,1,0,1
48,48433,48.200001,0.866,0.119,0,0.28999999,26.992,1,569,1,0,2
48,48443,51.900002,0.84399998,0.072999999,0,0.63599998,33.75,1,862,1,1,2
49,49031,46.900002,0.986,0,0,0.030999999,52,1,861,1,0,0
49,49033,29.1,1,0,0,0.045000002,49.917,1,1278,1,0,1
49,49055,35.5,0.97000003,0.005,0.009,0.037,50.288,1,1574,1,0,2
50,50013,52,0.92000002,0.029999999,0.013,0.023,87.188,1,1029,1,1,3
51,51036,57,0.244,0.71600002,0.004,0,58.182,1,893,1,0,1
51,51097,39.400002,0.824,0.14,0,0.008,0,1,504,1,0,2
51,51115,48.599998,0.89999998,0.046999998,0.015,0.012,73.191,1,1733,1,1,1
51,51157,38.700001,0.96899998,0.030999999,0,0.054000001,60.804,1,1937,1,1,2
51,51181,43.599998,0.59100002,0.38699999,0.01,0,60.417,1,988,1,1,1
51,51620,39.799999,0.34900001,0.58700001,0.021,0.033,62.552,1,1313,0.033,1,3
51,51685,37.200001,0.56199998,0.149,0.27700001,0.22400001,94.782,1,4176,0,1,0
54,54013,43.400002,0.98299998,0.001,0,0.032000002,45.089,1,1694,1,1,3
54,54101,43,0.99599999,0.001,0,0.003,40.281,1,2266,1,1,3
1,1037,39.75,0.44749999,0.5485,0,0.012,33.893,,2238,1,1,0
2,2050,39.049999,0.2445,0.021499999,0.075999998,0.038000003,96.3195,2,2338,0.73900002,1,3
2,2195,35.050003,0.63,0.0065,0.124,0.046500001,66.3125,2,1618,1,1,6
2,2275,45.599998,0.727,0.004,0.048,0.008,68.5,,1056,1,0,0
5,5025,40.099998,0.67699999,0.237,0,0,37.813,2,2680,1,0,4
5,5077,33.299999,0.46200001,0.53799999,0,0.003,42,2,1446,0.63499999,1,7
5,5097,48.599998,0.93949997,0.009,0.02,0.0305,40.962,2,2416,1,1,5
5,5101,46.700001,0.97899997,0.002,0,0,28.438,2,2358,1,0,3
5,5105,40.099998,0.94150001,0.003,0,0.0255,45.203,2,2794,1,0,4
6,6043,51.700001,0.66900003,0.059,0,0.17299999,40.5,2,2332,1,0,4
6,6049,54.5,0.95999998,0,0.014,0.15099999,29.196,2,1708,0.69999999,0,3
8,8011,39.25,0.91649997,0.063000001,0.009500001,0.27000001,37.831,2,3686,0.38,1,6
8,8017,34.849998,0.98500001,0.002,0.008500001,0.076000005,58.264,2,1118,1,1,6
8,8019,46,0.93099999,0.030999999,0,0.061999999,57.266,2,3334,1,1,2
8,8039,47.200001,0.92900002,0.0045,0.018000001,0.041500002,91.6025,2,3842,1,0,5
8,8115,45.200001,0.94400001,0.050999999,0.004,0.22499999,51.25,2,1158,1,1,7
12,12049,25.299999,0.65399998,0.31,0,0.60500002,27.991,2,2523,0.47799999,1,1
12,12065,59,0.65899998,0.34099999,0,0.008,54.423,2,1756,1,1,2
12,12123,43.299999,0.84200001,0.15800001,0,0.027000001,33.108,,1023,0.69300002,0,0
13,13005,34.900002,0.61949998,0.3285,0,0.0385,42.47,2,2424,0.69300002,0,6
13,13011,39.900002,0.926,0.044,0.0115,0.0535,42.6955,2,6260,0.93800002,0,4
13,13037,37.75,0.3055,0.67799997,0.0165,0.018999999,38.3135,,1410,1,1,0
13,13049,43.5,0.49700001,0.41299999,0.007,0,30.058,2,6772,0.50999999,0,6
13,13149,37.799999,0.60399997,0.38800001,0,0.008,27.008,2,3086,1,1,6
13,13155,54.599998,0.736,0.205,0.059,0.006,31.25,2,1236,0.64700001,0,5
13,13159,42.349998,0.75399995,0.237,0.002,0.009,38.454,2,4686,0.81800002,1,1
13,13167,36.900002,0.42899999,0.54400003,0.008,0,32.202,2,4530,0.65399998,0,2
13,13183,26.799999,0.86699998,0.124,0,0.018999999,55,2,3512,0.81300002,0,4
13,13193,47.900002,0.30400002,0.69599998,0,0.016000001,23.324,,1222,0.53200001,0,0
13,13197,45.349998,0.61400002,0.36600003,0,0.0195,42.165,2,3166,1,1,3
13,13249,36.25,0.70300001,0.296,0,0.056499999,43.6675,2,3559,1,0,0
13,13263,50.099998,0.45249999,0.5345,0.0065,0.004,36.529,2,2703,0.93900001,1,6
13,13281,65.099998,0.95499998,0.021,0.006,0.012,40.119,2,2098,1,1,2
13,13283,35.099998,0.56699997,0.433,0,0,0,2,840,0.58899999,0,3
16,16003,53.900002,0.954,0.0035,0,0.039999999,43.6965,2,3083,1,0,6
16,16037,43.599998,0.91399997,0.001,0,0.057,51.328,2,1705,1,1,7
16,16071,45.200001,0.99699998,0,0,0.025,44.485,2,2596,1,1,8
16,16073,36.050003,0.94599998,0,0.0035,0.50450003,34.297,2,2974,0.773,0,6
17,17047,47.450001,0.96450001,0,0.0135,0.0115,41.069,,1391,1,0,0
17,17069,45.150002,0.94300002,0.044500001,0.001,0.029999999,46.0575,2,1234,1,1,2
18,18025,43.299999,0.97149998,0.003,0,0.015,39.2,2,3152,1,1,0
18,18115,49.950001,0.96749997,0.023,0,0.0055,42,2,1519,1,1,1
18,18125,47.299999,0.958,0.031500001,0,0.006,47.467,,2418,1,1,0
18,18139,47.199997,1,0,0,0.015999999,47.989,2,1846,0.61199999,1,2
18,18155,38.900002,0.98100001,0.002,0.006,0.011,41.648,2,3576,1,0,5
20,20071,36.099998,0.96700001,0.015,0,0.29300001,53.036,2,1530,1,1,4
20,20075,32.400002,0.95749998,0.0135,0,0.3585,46.9285,2,2616,1,0,4
20,20083,49.099998,0.96499997,0,0.021,0.086000003,53.854,2,3684,1,0,2
20,20093,33.549999,0.96200001,0.0145,0.0055,0.271,49.39,2,2590,1,0,2
20,20109,40.599998,0.949,0,0,0.115,46.111,2,2356,1,1,3
20,20181,36.099998,0.94099998,0,0,0.082999997,54.5,2,1112,0.242,1,5
20,20187,39.799999,0.99699998,0.002,0,0.491,46.107,2,2454,1,0,3
20,20189,26.4,0.89899999,0.006,0,0.491,43.125,2,2438,0.31200001,0,5
21,21061,39.799999,0.98799998,0.006,0,0.007,34.526,2,2416,1,1,0
21,21063,42.200001,0.99299997,0.007,0,0,29.615,2,2384,1,0,3
21,21077,39.299999,0.92500001,0.037,0.003,0.115,41.321,2,2215,1,0,1
21,21105,44.599998,0.86299998,0.094999999,0.017999999,0.001,31.184,2,2732,1,0,3
21,21129,39.400002,0.91799998,0.026999999,0.013,0.0135,20.252,2,2448,1,1,5
21,21143,60.700001,0.96700001,0,0,0,60.365,2,1819,1,0,6
21,21215,39.550003,0.9005,0.037999999,0,0.0055,65.414,2,3233,1,1,5
21,21237,49.699997,0.97049999,0,0,0,20.5825,2,1559,1,0,4
22,22035,53.049999,0.414,0.574,0,0.008500001,25.407,,1147,0.34599999,0,0
26,26001,53.849998,0.963,0.0085,0.0045,0.0175,34.9265,2,2716,0.98900002,1,4
26,26013,34.550003,0.63349998,0.1705,0.0065,0.0165,33.844,2,3648,1,0,1
26,26079,38.599998,0.88099998,0,0.025,0,48.984,2,2778,0.84399998,1,3
26,26095,39.599998,0.88699996,0.006,0,0.0275,35.9335,2,1371,0.514,0,1
26,26113,42.549999,0.93850005,0.013,0.0025,0.011,44.4545,2,3036,1,1,8
26,26119,53.150002,0.98199999,0.002,0,0.0285,38.2815,2,1702,1,1,8
27,27087,33.900002,0.42699999,0.0045,0.006,0.033999998,44.7815,2,2404,1,1,8
28,28009,40.25,0.69700003,0.29800001,0,0.038000003,32.7575,2,3226,1,0,5
28,28019,47.299999,0.389,0.58399999,0.027000001,0,28.214,,548,1,0,0
28,28021,46.200001,0.133,0.86400002,0,0.004,24.167,2,1538,1,1,8
28,28041,36.950001,0.73100001,0.259,0,0.0305,39.0035,2,2716,1,0,0
28,28069,30.4,0.2265,0.77100003,0,0.002,24.026,2,4224,1,0,0
28,28103,29.299999,0.12800001,0.87199998,0,0.025,21.848,2,3680,0.74000001,0,2
28,28135,44,0.48299998,0.47350001,0.034499999,0.22050001,15.3805,2,4954,0.80900002,1,0
29,29017,35.050003,0.89100003,0.0265,0.02,0.012,39.014,2,2057,1,1,7
29,29103,46.400002,0.97799999,0.003,0,0.008,26.49,2,2248,1,0,5
29,29129,40.900002,0.96649998,0.006,0.0055,0.0255,46.5625,2,2258,1,0,1
29,29179,43.699997,0.96149999,0.0255,0.003,0.0145,41.528,2,2800,1,1,4
29,29203,44.25,0.94149995,0.002,0,0.011,28.6205,2,2399,1,1,1
30,30003,40.5,0.65700001,0,0.017000001,0.32300001,41.481,2,2064,0.71899998,0,0
30,30005,46.5,0.61699998,0,0.003,0.048,34.7325,2,1243,1,1,2
30,30039,46.050003,0.98750001,0.0025,0.001,0.033999998,46.0475,2,1682,1,0,1
30,30051,45.400002,0.99400002,0,0,0.033,49.028,2,1988,1,0,5
30,30061,51.550003,0.93299997,0,0,0.026500002,41.9675,2,1972,1,1,3
31,31073,44.299999,0.97500002,0.009,0.011,0.034000002,61.917,2,2168,1,0,4
31,31149,53.700001,0.995,0.005,0,0.016000001,53.958,2,1602,1,0,2
31,31165,52,0.87400001,0.005,0.004,0.008,43.155,2,778,1,0,2
32,32027,33,0.86299998,0.012,0.011,0.237,21.813,2,2224,1,0,3
35,35023,40,0.90399998,0.045000002,0,0.81599998,34.911,2,3392,1,1,5
35,35059,36.099998,0.87699997,0.034000002,0,0.48199999,37.689,2,3304,1,0,3
36,36041,50.25,0.88999999,0.021500001,0.001,0.021500001,57.325,2,1044,1,1,0
37,37015,34.050003,0.1805,0.72749996,0.002,0,42.2395,2,1612,0.83200002,1,3
37,37033,39,0.37400001,0.56599998,0.026000001,0.054000001,17.538,2,3874,0.99199998,1,4
37,37075,42.099998,0.935,0.012,0,0.17200001,15.5,2,1224,1,0,1
37,37095,43.549999,0.85249996,0.1305,0,0.2455,31.326,2,1552,1,1,2
37,37115,38.650002,0.93700004,0.037,0.001,0.031500001,39.219,2,3116,0.90600002,1,3
37,37137,51,0.61000001,0.36650002,0,0.046999998,39.2085,2,1832,1,0,3
37,37177,50.700001,0.32300001,0.65399998,0,0.23,21.875,2,1788,1,1,6
38,38001,44.199997,0.91149998,0.024499999,0.044500001,0.023500001,53.4375,2,1773,1,0,6
38,38005,47.349998,0.96099997,0.002,0,0.0175,57.047,,1206,1,0,0
38,38013,34.800003,0.96899998,0.0065,0,0.030999999,72.6015,2,2213,1,1,8
38,38037,52.200001,0.98300004,0.0005,0.003,0.0045,57.2305,2,2380,1,1,3
38,38043,47.799999,0.9835,0.0065,0.003,0.0385,57.1565,2,1613,1,0,1
38,38053,32.650002,0.92900002,0.011,0,0.12900001,75.55,2,5994,1,0,3
38,38075,47.5,0.96399999,0.004,0.018999999,0.063000001,67.578,2,1496,1,0,1
40,40005,40.599998,0.68400002,0.007,0.071000002,0.044,33.17,2,2546,1,1,2
40,40025,39.150002,0.98549998,0.005,0.004,0.2545,42.604,2,1140,1,1,6
40,40029,38.200001,0.67299998,0,0,0.079999998,31.719,2,2600,1,0,4
40,40059,40.949997,0.98449999,0.0015,0,0.234,53.1175,2,3847,1,0,6
40,40063,44.75,0.66550004,0.061999999,0,0.050000001,34.0075,2,1656,0.588,0,1
40,40069,41.299999,0.79500002,0.041999999,0,0.041999999,29.806,2,3362,1,1,3
40,40085,36.299999,0.75150001,0.096000001,0.017000001,0.33499998,43.6935,2,2860,1,1,1
41,41037,39.799999,0.84100002,0,0.012,0.182,21.957,2,1690,0.63300002,0,6
42,42023,45.849998,0.96850002,0.0015,0.0055,0.0115,34.847,2,1663,0.47400001,0,2
42,42053,66.699997,0.94550002,0.0055,0.0125,0,35.4635,,782,1,1,0
45,45005,34.049999,0.1295,0.87049997,0,0.028000001,12.7245,2,1064,0.68300003,1,7
45,45065,39.699997,0.26950002,0.72750002,0.003,0,23.905,2,1561,1,0,6
46,46021,51.300003,0.99150002,0,0.001,0.003,51.528,2,1435,1,0,1
46,46025,31.349998,0.93949997,0.0005,0.0025,0.0515,45.1735,2,1739,1,1,4
46,46055,47.050003,0.9465,0.0005,0,0.01,37.458,2,2082,1,1,5
46,46059,50.599998,0.995,0,0,0,46.25,2,1678,1,0,2
46,46069,53.200001,0.866,0,0,0,55.104,2,1762,1,1,5
46,46073,50.200001,0.97650003,0,0,0.0165,52.413,2,2029,1,1,1
46,46089,59.900002,0.98799998,0,0.009,0.014,31.149,2,2004,1,0,3
46,46105,44.549999,0.97000003,0,0,0.02,52.844,2,2276,1,0,0
46,46117,38.900002,0.85500002,0,0,0.013,72.212,2,4792,0.42500001,1,2
46,46119,40.599998,0.96799999,0,0,0.02,61.875,2,1400,1,1,2
47,47007,39.599998,0.699,0.18000001,0.006,0.025,36.615,2,2710,1,1,1
47,47027,42.400002,0.89999998,0.097000003,0.004,0.017000001,30.185,2,3684,1,0,6
47,47067,39.450001,0.95949996,0.0095,0.019000001,0.003,28.4185,2,3186,1,1,5
47,47087,45.799999,1,0,0,0,40.769,2,1208,1,0,4
47,47095,41.200001,0.69350004,0.27250001,0.004,0.035500001,22.794,2,2574,1,0,4
47,47129,37.799999,0.97100002,0.009,0,0.002,35.865,2,2850,0.99900001,1,2
47,47137,44.799999,0.98400003,0.012,0,0.013,30.089,2,2088,1,1,2
47,47169,36.700001,0.87199998,0.12800001,0,0.024,43.182,2,2038,1,1,3
48,48017,27,0.77750003,0.039500002,0.091499999,0.88700002,36.1335,2,2111,0.28799999,1,4
48,48065,41,0.9885,0.0035,0.0055,0.1075,63.429,2,1761,0.95200002,0,1
48,48081,42.450001,0.94,0.0145,0.005,0.28799999,45.686,2,1985,1,0,1
48,48087,43.049999,0.86000001,0.13349999,0,0.257,46.144,2,1179,1,0,6
48,48103,39.200001,0.72149998,0.24650002,0.032000002,0.634,65.9035,2,1880,0.107,0,5
48,48105,34.700001,0.88499999,0.115,0,0.86400002,50.225,2,1021,0.227,0,2
48,48119,31.9,0.796,0.183,0.001,0.079000004,32.069,2,3092,1,0,5
48,48165,22.5,0.954,0.041500002,0.0045,0.5625,48.5215,2,1738,0.63,0,2
48,48205,37.5,0.85799998,0,0.059999999,0.094999999,48.162,2,2620,0.57300001,1,3
48,48207,44.700001,0.87599999,0.061999999,0,0.205,45.294,2,1300,0.47600001,0,4
48,48267,39.599998,0.92500001,0.002,0,0.155,40.446,2,1458,0.44299999,1,2
48,48275,32.949997,0.90750003,0.080500007,0,0.3515,44.7525,2,2255,1,1,6
48,48307,53.299999,0.722,0.278,0,0.49900001,0,2,1006,0.35299999,1,1
48,48317,34,0.89300001,0.10699999,0,0.64099997,66.0005,2,3028,1,0,1
48,48327,45.599998,0.94999999,0.004,0,0.264,48.971,2,2330,1,1,4
48,48333,43.599998,1,0,0,0.35250002,40.6925,2,2068,1,1,5
48,48351,41.599998,0.89450002,0.082999997,0.009,0.078000002,48.631,2,2125,1,1,4
48,48383,25.299999,0.847,0.127,0,0.852,54.961,2,2560,0.133,1,8
48,48421,39.700001,0.96100003,0.013,0,0.58600003,47.132,2,3436,1,1,0
48,48435,37.599998,0.99800003,0.002,0,0.48899999,72.039,2,2084,0.18799999,1,3
48,48455,48.349998,0.78549999,0.16600001,0.003,0.26749998,29.893,2,2097,0.77200001,1,6
48,48461,35.300003,0.87150002,0.11,0.011,0.5025,51.6415,2,2933,1,1,1
48,48507,37.800003,0.5,0,0,0.87450004,29.703,2,3049,0.38,1,3
49,49015,39.650002,0.995,0,0.0005,0.052000001,47.358,2,2433,0.736,1,4
49,49019,46.400002,0.903,0,0.045000002,0.17200001,35.573,2,1868,0.25400001,1,6
49,49023,28.9,0.99699998,0,0,0.14300001,53.654,2,3410,0.435,0,4
49,49029,36.800003,0.98000002,0,0.0015,0.028999999,84.786,2,3723,0.62800002,1,5
50,50009,50.5,0.954,0.009,0.01,0.004,36.45,2,2246,1,1,4
51,51021,49.099998,0.92299998,0.068000004,0.002,0.007,45.699,2,3500,1,0,6
51,51033,40.299999,0.722,0.23199999,0.0145,0.005,64.6395,2,4794,0.78399998,1,1
51,51045,53.799999,1,0,0,0,40.417,2,1078,1,0,1
51,51049,41.849998,0.61650002,0.3635,0,0,20.598,2,2276,0.95999998,0,1
